Страница;№;ID блока;Тип Тильды;Что это;Zero Block;Текстов;Картинок;Ссылок;Форм;КБ;Первый текст
/;1;rec2292828551;T360;Текстовый блок;;1;0;0;0;3.3;T360
/;2;rec2963663501;T396;Zero Block (ручная вёрстка);да;10;4;12;0;54.7;Ремонт квартир под ключ в Москве и Московской области
/;3;rec1610014251;T396;Zero Block (ручная вёрстка);да;6;0;6;0;20.3;ДИЗАЙН ИНТЕРЬЕРА
/;4;rec1574711491;T450;Меню сайта;;1;1;5;0;9.8;t450 ДИЗАЙН ИНТЕРЬЕРА КОМПЛЕКТАЦИЯ ПРИЕМКА КВАРТИРЫ КОНТАКТЫ ПАРТНЕРАМ
/;5;rec1574507381;T204;Обложка на весь экран;;3;1;1;0;3.0;РЕМОНТ КВАРТИР от 7850 рублей за м2
/;6;rec1617217661;T396;Zero Block (ручная вёрстка);да;13;6;0;0;65.2;ДИЗАЙН-ПРОЕКТ
/;7;rec2434771181;T396;Zero Block (ручная вёрстка);да;15;6;4;0;85.3;ДИЗАЙН-ПРОЕКТ
/;8;rec2434825941;T131;Отступ;;1;0;0;0;0.4;T123 nominify begin slider.js Слайдер в Zero-блоке. https://postnikovmd.com/mods/slider nominify end
/;9;rec1649955781;T215;Технический блок без контента;;0;0;0;0;0.1;
/;10;rec1579580341;T396;Zero Block (ручная вёрстка);да;7;1;0;0;23.8;РАБОТА С НАМИ
/;11;rec1649570031;T396;Zero Block (ручная вёрстка);да;7;1;0;0;25.7;РАБОТА С НАМИ
/;12;rec2660812601;T396;Zero Block (ручная вёрстка);да;7;0;0;0;31.9;КАК ПРОХОДИТ РЕМОНТ С ЭСПАДОЙ
/;13;rec2660815501;T396;Zero Block (ручная вёрстка);да;2;0;0;0;7.6;О ЧЕМ ХОЗЯИН КВАРТИРЫ:
/;14;rec2660823401;T396;Zero Block (ручная вёрстка);да;2;0;0;0;8.5;О ЧЕМ ХОЗЯИН КВАРТИРЫ:
/;15;rec2660825901;T1196;Плитка карточек;;10;5;0;0;11.4;"""СМЕТА ПОТОМ ВЫРАСТЕТ?"""
/;16;rec2660826401;T396;Zero Block (ручная вёрстка);да;2;0;0;0;9.8;КЛЮЧЕВЫЕ МОМЕНТЫ В ВЫБОРЕ КОМПАНИИ
/;17;rec2660831801;T396;Zero Block (ручная вёрстка);да;6;3;0;0;38.6;ЗАКРЕПЛЕНИЕ СТОИМОСТИ РАБОТ
/;18;rec2660834801;T396;Zero Block (ручная вёрстка);да;5;1;0;0;23.4;ОБЩЕНИЕ С НАШИМ ИНЖЕНЕРОМ
/;19;rec2660835101;T396;Zero Block (ручная вёрстка);да;3;0;0;0;13.5;ГДЕ УДАЛОСЬ ИЗБЕЖАТЬ
/;20;rec2660841101;T820;Текстовый блок;;4;1;0;0;3.2;ПЕРЕНОСИТЬ ЧАСТЬ ЭЛЕКТРИКИ
/;21;rec2660842501;T396;Zero Block (ручная вёрстка);да;4;0;0;0;16.6;ЧТО ПОЛУЧИЛ КЛИЕНТ?
/;22;rec2660842801;T2901;Текстовый блок;;1;11;0;0;11.6;T1370 nominify begin Повторяем первые 6 для заполнения 16 слотов nominify end
